experience_num,location_norm_hà nội,location_norm_tp. hồ chí minh,seniority_mid,group_Giải quyết vấn đề,salary
0.0,1.0,0.0,1.0,1.0,23000000
0.0,0.0,1.0,1.0,1.0,10500000
