title,link,location,experience,description,requirements,benefits,work_location_detail,working_time,deadline,salary,salary_normalized,currency_unit,skills,group,skills_str,seniority,skills_clean
Chuyên Viên Phân Tích Nghiệp Vụ,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-erp/1907441.html?ta_source=ITJobs_LinkDetail,Hà Nội,2 năm,"– Vận hành hệ thống phần mềm được giao
+ Phát triển hệ thống phần mềm, các chức năng của hệ thống phần mềm.
+ Phối hợp team support giải đáp các thắc mắc của Enduser trong quá trình vận hành hệ thống phần mềm.
+ Phối hợp khắc phục các sự cố phát sinh trong quá trình vận hành hệ thống phần mềm.
– Phát triển các tính năng của các hệ thống phần mềm
+ Cùng với team support tiếp nhận yêu cầu phát triển mới của người dùng.
+ Phối hợp phân tích yêu cầu và đề xuất giải pháp thực hiện trên hệ thống phần mềm.
+ Kiểm thử các tính năng trên hệ thống phần mềm sau quá trình phát triển.
+ Hướng dẫn cho các supporter : vận hành và phối khắc phục sự cố phát sinh.
+ Thực hiện chuyển giao, hướng dẫn vận hành cho Enduser.
– Công việc báo cáo, lập kế hoạch
+ Lập kế hoạch công việc hàng tháng theo mục tiêu công việc của bộ phận
+ Báo cáo kết quả công việc được giao theo hàng tuần/ tháng.
+ Báo cáo đột xuất theo yêu cầu.
+ Lưu trữ thông tin đầy đủ.","– Tốt nghiệp Đại học chuyên ngành CNTT, Kế toán, liên quan khối Kinh tế – Tối thiểu 2 năm kinh nghiệm vị trí tương đương – Đã từng tham gia dự án ERP tại DN, có kiến thức nghiệp vụ như Bán hàng, mua hàng, kho…; có kiến thức hệ quản trị CSDL, SQL server, Postgres…. – Kỹ năng + Giao tiếp, trình bày + Làm việc độc lập, làm việc nhóm + Giải quyết vấn đề và ra quyết định – Khác: Hợp tác, cam kết, chủ động, cẩn thận, tư duy dịch vụ","– Thu nhập cạnh tranh theo năng lực
– Đầy đủ các quyền lợi theo quy định của Luật: Đóng BHXH, thẻ Bảo hiểm sức khỏe theo cấp bậc
– Thưởng: Ghi nhận sáng kiến, ngày nghỉ nhân dịp sinh nhật CBNV; thưởng hiệu suất công việc, tháng 13
– Phúc lợi: 12 ngày nghỉ phép theo Luật; quà tặng các dịp Lễ tết, sinh nhật CBNV; khám sức khỏe hàng năm; ưu đãi mua hàng nội bộ;
– Các hoạt động văn hóa: Teambuilding hàng năm, câu lạc bộ chạy, các chương trình sự kiện nội bộ trong năm.","- Hà Nội: 170 La Thành, Đống Đa",,2025-11-08,23000000,23000000,VND,[],Giải quyết vấn đề,,mid,[]
Chuyên Viên IT,https://www.topcv.vn/viec-lam/chuyen-vien-it-system-support/1906296.html?ta_source=ITJobs_LinkDetail,TP. Hồ Chí Minh,2 năm,"Tư vấn và đề xuất các giải pháp IT phù hợp với nhu cầu, mục tiêu của khách hàng.
Phối hợp với khách để nắm bắt yêu cầu, triển khai và quản lý dự án/dịch vụ hiệu quả.
Hướng dẫn, đào tạo người dùng trong quá trình áp dụng sản phẩm/dịch vụ mới; tiếp nhận và xử lý các yêu cầu qua nhiều kênh hỗ trợ.
Thực hiện báo cáo dịch vụ định kỳ, đưa ra khuyến cáo cho khách hàng.
Cung cấp hỗ trợ kỹ thuật, xử lý sự cố IT kịp thời, đảm bảo chất lượng và tuân thủ SLA.
Theo dõi, ghi nhận và giải quyết các yêu cầu hỗ trợ; duy trì hồ sơ thông tin đầy đủ, chính xác.
Tham gia lịch bảo trì/onsite định kỳ; cập nhật và báo cáo các vấn đề kỹ thuật để nâng cao chất lượng dịch vụ.
Thực hiện công tác bảo hành, chăm sóc sau bán hàng và hỗ trợ thủ tục bàn giao khi kết thúc dịch vụ.","1.Yêu cầu công việc Bạn là người đam mê với công nghệ, có hiểu biết về phần cứng, mạng lưới, hệ điều hành, bảo mật mạng. Tốt nghiệp chuyên ngành CNTT hoặc Điện tử viễn thông (mạng và hệ thống máy tính) hệ chính quy hoặc tương đương. Bạn có khả năng cài đặt, cấu hình, sử dụng các thiết bị, phần mềm. Kinh nghiệm tối thiểu từ 2 năm, ưu tiên đã từng làm ở môi trường dịch vụ IT. Có một trong các chứng chỉ MCSA, CCNA, hoặc chứng chỉ tương đương. Có chứng chỉ MCSE, CCNP, Microsoft 365 là một lợi thế. Tiếng anh giao tiếp cơ bản (đọc, hiểu, phản hồi email với khách hàng). 2. Yêu cầu kỹ năng Kỹ năng giao tiếp. Tinh thần làm việc nhóm, hỗ trợ đồng đội. Thích nghiên cứu, đam mê công nghệ. Sẵn sàng hỗ trợ khách hàng.","Lương + thưởng hàng quý theo quy định.
Các khoản thưởng khác: lương tháng 13, thưởng kinh doanh, lễ, Tết, hiếu hỉ.
Mỗi năm review lương 2 lần.
Văn hóa học tập, đào tạo chia sẻ nội bộ hàng tuần vào sáng thứ 3, thứ 6.
Tham gia thể thao đá bóng, cầu lông hàng tuần, teambuilding, du lịch hàng năm.
Được cung cấp công cụ làm việc đầy đủ (laptop, màn hình, bàn phím...).
Môi trường làm việc mở, linh hoạt với tinh thần văn hóa P.A.R.T.Y.
Đồ ăn nhẹ hàng ngày tại văn phòng.
Khám sức khỏe 1 lần/năm.","- Hồ Chí Minh: 1D Nguyễn Duy, P.3, Bình Thạnh",,2025-11-08,10500000,10500000,VND,[],Giải quyết vấn đề,,mid,[]
